status,event_name,flow_type,type,target,parametros,description,label,notes
mapping,a_navmenu_dashboard,Navbar,,,--,"Botão home da aplicação ""Casinha""",,
mapping,a_navmenu_fgts,Navbar,,,--,"Botão ""FGTS""",,
mapping,a_navmenu_saquefacil,Navbar,,,--,"Botão ""Saque Fácil""",,
mapping,a_navmenu_carequity,Navbar,,,--,"Botão ""Auto+""",,
mapping,a_navmenu_contratafacil,Navbar,,,--,"Botão ""Contrata Fácil""",,
production,a_user_dropdown_nav_meu-perfil,Navbar,eventId,<a>,--,Dropdown Perfil > Meu Perfil,,
production,a_user_dropdown_nav_admin/blacklist,Navbar,eventId,<a>,--,Dropdown Perfil > Blacklist,,
production,a_user_dropdown_nav_admin/unblock-reservation,Navbar,eventId,<a>,--,Dropdown Perfil > Desaverbar CPF,,
production,a_user_dropdown_nav_admin/organizations,Navbar,eventId,<a>,--,Dropdown Perfil > Organizações,,
production,a_user_dropdown_nav_admin/review-kanban,Navbar,eventId,<a>,--,Dropdown Perfil > Aprovação manual,,
production,a_user_dropdown_nav_admin/commissions-extractions,Navbar,eventId,<a>,--,Dropdown Perfil > Extrações de Comissões,,
production,a_user_dropdown_nav_configuracoes_users,Navbar,eventId,<a>,--,Dropdown Perfil > Usuários,,
production,button_main_header_precisa-de-ajuda,Navbar,eventId,<button>,--,Botão de atendimento,,
production,_dashboard_subheader_/dashboard,Principal,eventId,<a>,--,"Botão ""Dashboard""",,
production,a_dashboard_subheader_/oportunidades,Principal,,,--,"Botão ""Minhas Oportunidades""",,
production,a_core_subheader_/customers,Principal,eventId,<a>,--,"Botão ""Clientes""",,
production,a_core_subheader_/lucky-numbers,Principal,eventId,<a>,--,"Botão ""Números da Sorte""",,
production,a_core_subheader_/prize-wheel,Principal,eventId,<a>,--,"Botão ""Ganha+""",,
mapping,a_dashboard_subheader_dropdown_nova_proposta,Principal,,,--,"Botão de dropdown ""Nova Proposta""",,
production,a_dashboard_subheader_dashboard/fgts/new,Principal,,,--,Botão nova proposta de FGTS na dashboard,,
production,a_dashboard_subheader_dashboard-credit-card/new,Principal,,,--,Botão nova proposta de Saque Fácil na dashboard,,
production,a_dashboard_subheader_dashboard-car-equity/new,Principal,,,--,Botão nova proposta de Auto+ na dashboard,,
mapping,a_dashboard_banner_atendimento,Principal,,,--,Banner de atendimento,,
mapping,a_dashboard_fgts_pending-customer-proposals-send-link-whatsapp,Principal,,,--,Botão de WhatsApp na tabela de propostas,,
mapping,a_dashboard_detalhe_proposta,Principal,,,"proposalId
proposalStatus",Botões de ver proposta na dashboard,,
production,button_fgts-opportunities-config-save,Oportunidades,eventId,<button>,--,Modal de configurações → Salvar,Salvar,
production,button_fgts-opportunities-config-open,Oportunidades,eventId,<button>,--,Modal de configurações → Abrir,Configurações,
production,button_fgts-opportunities-create-proposal,Oportunidades,eventId,<button>,--,Modal de configurações → Enviar mensagem,Enviar mensagem,
production,button_fgts-opportunities-config-restore-default,Oportunidades,eventId,<button>,--,Modal de configurações → Redefinir para o padrão,Restaurar padrão,
production,button_fgts-opportunities-modal-discard-proposal,Oportunidades,eventId,<button>,--,Descartar proposta,Descartar,
not simulated,button_fgts-opportunities-discard-proposal,Oportunidades,eventId,<button>,--,Descartar proposta,Descartar,
production,button_fgts-opportunities-call-customer,Oportunidades,eventId,<button>,--,Ligar para o cliente,Ligar,
